order_id,order_date,amount,product_id
1235,2024-08-17,105,42
1236,2023-03-29,7589,44
1237,2024-10-16,8759,2
1238,2024-03-26,8295,35
1239,2023-10-21,6066,42
1240,2023-07-01,8937,34
1241,2024-12-08,217,30
1242,2022-01-17,2651,13
1243,2022-06-07,5660,13
1244,2023-04-22,4389,18
1245,2024-12-05,946,32
1246,2023-06-02,6416,32
1247,2022-04-09,6569,35
1248,2024-11-26,9433,39
1249,2022-10-07,9015,46
1250,2023-05-12,324,29
1251,2022-10-29,4308,49
1252,2022-06-30,6383,29
1253,2023-08-30,2148,44
1254,2023-12-01,6333,16
1255,2024-09-19,9865,44
1256,2022-07-10,1928,47
1257,2022-09-10,2017,10
1258,2024-09-07,4334,30
1259,2024-07-16,7088,25
1260,2022-05-08,2126,39
1261,2022-01-18,3844,20
1262,2023-07-20,9193,5
1263,2023-07-24,109,1
1264,2023-11-17,360,30
1265,2023-09-18,6138,49
1266,2024-05-03,9965,3
1267,2024-08-19,2319,45
1268,2022-06-04,7141,14
1269,2023-05-05,2160,30
1270,2024-02-24,5387,50
1271,2022-09-03,1719,4
1272,2024-11-28,8612,18
1273,2024-01-29,1442,37
1274,2023-06-22,2932,25
1275,2024-07-09,2924,48
1276,2023-02-12,2094,1
1277,2023-06-09,3590,46
1278,2024-04-07,9410,15
1279,2024-06-21,8084,9
1280,2022-02-05,1704,15
1281,2023-11-16,335,49
1282,2022-01-20,2008,24
1283,2022-11-17,8667,4
1284,2023-05-27,3630,12
1285,2023-02-04,5356,37
1286,2023-10-16,2735,37
1287,2024-08-29,8262,43
1288,2023-04-16,9862,6
1289,2024-04-13,2660,39
1290,2023-12-28,5515,46
1291,2024-05-03,3491,24
1292,2022-02-20,6051,11
1293,2023-07-29,5568,13
1294,2022-05-30,8107,34
1295,2022-11-10,9164,25
1296,2023-07-24,9544,7
1297,2022-11-01,6513,4
1298,2023-11-13,7041,8
1299,2024-04-17,9606,20
1300,2024-12-13,4920,29
1301,2024-09-29,2998,45
1302,2023-03-20,7646,46
1303,2023-09-05,177,10
1304,2024-09-19,7677,43
1305,2022-09-21,4327,34
1306,2024-12-12,700,26
1307,2024-09-30,1165,41
1308,2022-01-05,2236,49
1309,2024-02-13,9610,3
1310,2024-05-26,7043,6
1311,2024-09-18,7904,5
1312,2024-06-02,6665,5
1313,2022-02-16,6084,47
1314,2024-05-16,5242,23
1315,2024-04-02,4770,49
1316,2024-07-24,2290,9
1317,2023-10-18,9284,35
1318,2022-09-26,2812,20
1319,2023-01-05,2292,49
1320,2023-09-28,1348,42
1321,2023-10-19,4133,35
1322,2022-04-30,2097,50
1323,2024-04-10,3787,18
1324,2024-12-17,4118,17
1325,2024-01-11,2070,24
1326,2022-04-27,8489,3
1327,2024-03-01,5865,32
1328,2024-10-09,1302,35
1329,2024-12-17,8235,38
1330,2023-09-26,5667,13
1331,2023-05-28,7767,47
1332,2024-03-12,5842,25
1333,2023-07-14,5888,9
1334,2023-05-03,5508,4
1335,2024-06-15,8769,14
1336,2023-12-05,9546,37
1337,2023-08-04,1022,34
1338,2024-02-29,519,11
1339,2024-05-10,2304,41
1340,2022-09-04,1220,3
1341,2022-06-03,1050,28
1342,2024-09-23,2436,29
1343,2023-11-28,5473,9
1344,2024-12-28,2343,3
1345,2024-12-06,2745,25
1346,2024-10-05,4712,34
1347,2022-04-04,1965,12
1348,2024-08-15,6128,42
1349,2024-10-08,7426,9
1350,2023-03-29,6471,15
1351,2024-06-30,6459,40
1352,2022-08-06,7963,25
1353,2023-04-19,3328,5
1354,2023-03-08,3819,11
1355,2022-12-07,2471,34
1356,2023-07-05,2991,24
1357,2022-12-23,3856,15
1358,2022-01-23,4325,38
1359,2023-06-06,194,8
1360,2024-03-12,2774,5
1361,2024-02-01,6998,48
1362,2023-03-18,893,26
1363,2024-02-08,2216,18
1364,2024-10-12,5879,6
1365,2023-05-31,6266,37
1366,2024-11-05,914,48
1367,2024-03-02,445,13
1368,2022-12-02,8654,28
1369,2022-09-15,2543,5
1370,2023-05-12,7883,13
1371,2024-06-14,1084,17
1372,2022-06-09,7890,50
1373,2024-05-01,9931,40
1374,2023-11-21,927,45
1375,2023-01-15,3631,32
1376,2024-08-14,7247,29
1377,2023-11-22,4551,3
1378,2024-12-02,3976,40
1379,2022-10-12,6059,34
1380,2023-02-01,226,40
1381,2022-01-12,3277,27
1382,2023-05-14,8895,13
1383,2024-01-24,6124,45
1384,2022-02-04,5209,33
1385,2023-12-28,4246,6
1386,2024-04-28,7296,24
1387,2022-03-31,3468,19
1388,2024-02-15,3897,16
1389,2023-08-28,1892,40
1390,2024-08-27,5832,28
1391,2024-10-18,3576,33
1392,2023-02-22,3517,48
1393,2022-04-25,1745,41
1394,2023-09-09,9497,13
1395,2024-04-05,3130,43
1396,2023-02-17,2972,45
1397,2023-12-30,3172,25
1398,2024-10-17,1954,42
1399,2024-01-31,4121,36
1400,2023-11-07,4762,27
1401,2023-04-02,6614,38
1402,2024-07-08,5131,7
1403,2022-07-11,2808,5
1404,2024-01-09,7212,43
1405,2024-09-04,9624,45
1406,2024-10-05,8493,31
1407,2022-04-06,3607,23
1408,2023-10-25,6556,42
1409,2022-02-06,4312,10
1410,2022-10-06,8070,32
1411,2022-08-05,8866,43
1412,2024-05-16,636,30
1413,2024-05-22,1725,39
1414,2022-03-03,8073,31
1415,2023-08-19,8677,18
1416,2023-12-30,8170,36
1417,2023-02-01,8766,2
1418,2023-11-30,8709,14
1419,2024-11-08,6590,13
1420,2022-06-26,3700,29
1421,2023-01-31,6883,12
1422,2023-03-21,9246,39
1423,2022-03-17,5071,2
1424,2022-09-22,1305,32
1425,2023-03-31,2090,13
1426,2023-12-19,5399,46
1427,2024-01-05,3672,27
1428,2024-04-30,6075,49
1429,2022-05-24,6420,41
1430,2024-06-03,4480,17
1431,2024-12-28,4857,40
1432,2023-01-31,2813,31
1433,2024-11-14,5688,34
1434,2024-08-05,1066,24
1435,2024-06-09,5044,45
1436,2023-07-23,3532,35
1437,2024-11-28,788,48
1438,2022-04-19,4343,6
1439,2024-12-01,3801,19
1440,2024-07-23,8633,30
1441,2023-02-02,5282,7
1442,2023-09-26,6804,10
1443,2024-01-03,4522,41
1444,2022-08-23,1859,32
1445,2023-10-20,9281,34
1446,2024-01-21,2582,28
1447,2023-08-11,8158,15
1448,2024-10-29,1051,30
1449,2024-08-11,9014,37
1450,2023-05-07,2179,29
1451,2024-07-01,2817,22
1452,2022-06-19,4624,4
1453,2024-08-03,9792,20
1454,2024-03-05,8577,32
1455,2023-09-26,7411,36
1456,2022-01-29,7286,50
1457,2022-12-05,2165,4
1458,2023-05-15,868,27
1459,2023-05-26,5590,17
1460,2022-08-05,6745,12
1461,2024-12-29,5183,22
1462,2023-03-21,5332,17
1463,2024-05-25,5897,10
1464,2022-06-16,9238,1
1465,2022-04-01,5026,22
1466,2023-12-15,6116,26
1467,2022-02-08,3435,18
1468,2022-06-22,8138,50
1469,2023-10-15,4973,14
1470,2024-01-24,1581,47
1471,2024-12-17,6405,29
1472,2023-04-21,3551,12
1473,2023-04-01,154,36
1474,2024-04-08,7743,35
1475,2024-06-13,3562,12
1476,2024-10-21,932,7
1477,2023-01-22,6054,29
1478,2022-12-14,8619,11
1479,2022-07-09,7321,33
1480,2023-05-20,3410,6
1481,2024-04-03,3400,47
1482,2024-07-17,6822,15
1483,2024-07-22,7318,32
1484,2022-05-14,7876,11
1485,2022-02-27,3775,23
1486,2023-11-16,3154,26
1487,2023-11-03,8070,34
1488,2022-06-22,2243,46
1489,2024-03-25,5307,34
1490,2022-03-21,9603,29
1491,2024-06-04,2638,4
1492,2022-07-22,4647,17
1493,2024-02-03,5719,35
1494,2022-02-16,8456,13
1495,2023-10-18,6712,41
1496,2023-04-16,5105,39
1497,2024-08-28,922,15
1498,2024-11-01,1043,29
1499,2024-01-06,6250,29
1500,2024-02-23,4525,11
